datetime,open,high,low,close,volume
2019-12-31 15:00:00,131.69,131.83,131.52,131.52,1502.34485
2019-12-31 15:02:00,130.08,130.08,128.9,130.05,6879.33626
2019-12-31 15:03:00,129.98,131.13,129.97,130.77,2815.05339
2019-12-31 15:04:00,130.77,130.86,130.1,130.56,2028.89815
2019-12-31 15:05:00,130.56,130.79,130.19,130.67,1800.78668
2019-12-31 15:06:00,130.69,130.7,130.25,130.61,627.88684
2019-12-31 15:07:00,130.6,130.74,130.23,130.55,2012.17922
2019-12-31 15:08:00,130.53,130.71,130.33,130.5,392.18295
2019-12-31 15:09:00,130.5,130.68,130.5,130.63,385.6668
2019-12-31 15:10:00,130.61,130.66,130.28,130.32,1687.78386
2019-12-31 15:11:00,130.31,130.42,130.28,130.31,598.0632
2019-12-31 15:12:00,130.28,130.47,130.26,130.47,387.08233
2019-12-31 15:13:00,130.49,130.55,130.32,130.34,281.39677
2019-12-31 15:14:00,130.36,130.48,130.3,130.42,448.81459
2019-12-31 15:15:00,130.44,130.47,130.16,130.19,672.13051
2019-12-31 15:16:00,130.19,130.19,129.84,129.84,868.06555
2019-12-31 15:17:00,129.83,130.19,129.71,130.05,602.21422
2019-12-31 15:18:00,130.11,130.11,129.75,130.0,632.65033
2019-12-31 15:19:00,129.99,130.1,129.99,130.03,131.51662
2019-12-31 15:20:00,130.02,130.03,129.64,129.76,676.21726
2019-12-31 15:21:00,129.77,130.12,129.6,129.97,672.42512
2019-12-31 15:22:00,129.99,130.4,129.94,130.28,612.97394
2019-12-31 15:23:00,130.3,130.36,130.17,130.27,143.81302
2019-12-31 15:24:00,130.3,130.38,130.26,130.36,92.10972
2019-12-31 15:25:00,130.35,130.35,129.92,130.02,707.23017
2019-12-31 15:26:00,130.03,130.26,129.99,130.1,254.53986
2019-12-31 15:27:00,130.13,130.3,130.13,130.26,116.07396
2019-12-31 15:28:00,130.26,130.55,130.23,130.48,238.3557
2019-12-31 15:29:00,130.47,130.48,130.19,130.36,341.31707
2019-12-31 15:30:00,130.33,130.4,130.04,130.2,301.36937
2019-12-31 15:31:00,130.24,130.31,130.21,130.31,71.32583
2019-12-31 15:32:00,130.27,130.45,130.26,130.43,107.44356
2019-12-31 15:33:00,130.45,130.61,130.41,130.57,473.32272
2019-12-31 15:34:00,130.57,130.66,130.53,130.6,317.31116
2019-12-31 15:35:00,130.6,130.6,130.21,130.34,923.88995
2019-12-31 15:36:00,130.31,130.31,130.04,130.22,736.09208
2019-12-31 15:37:00,130.24,130.31,130.02,130.25,205.10332
2019-12-31 15:38:00,130.29,130.37,130.14,130.37,146.45422
2019-12-31 15:39:00,130.35,130.53,130.25,130.38,451.84149
2019-12-31 15:40:00,130.37,130.5,130.22,130.3,194.57791
2019-12-31 15:41:00,130.26,130.3,130.15,130.23,45.23182
2019-12-31 15:42:00,130.24,130.28,130.13,130.13,48.12066
2019-12-31 15:43:00,130.13,130.25,130.13,130.22,32.5633
2019-12-31 15:44:00,130.25,130.34,130.15,130.31,542.772
2019-12-31 15:45:00,130.3,130.31,130.05,130.05,126.71748
2019-12-31 15:46:00,130.1,130.34,130.1,130.22,274.90411
2019-12-31 15:47:00,130.22,130.23,129.86,129.99,855.55027
2019-12-31 15:48:00,129.99,130.07,129.97,130.03,211.53099
2019-12-31 15:49:00,130.0,130.08,129.75,129.85,1406.48062
2019-12-31 15:50:00,129.85,130.11,129.76,130.05,229.30268
2019-12-31 15:51:00,130.06,130.06,129.82,129.89,527.47217
2019-12-31 15:52:00,129.85,129.92,129.76,129.9,207.8353
2019-12-31 15:53:00,129.89,130.11,129.82,129.85,285.24292
2019-12-31 15:54:00,129.85,129.95,129.81,129.84,158.82305
2019-12-31 15:55:00,129.87,129.97,129.63,129.83,214.9471
2019-12-31 15:56:00,129.79,130.01,129.77,129.98,517.03869
2019-12-31 15:57:00,129.98,130.02,129.94,129.98,171.89309
2019-12-31 15:58:00,129.92,129.93,129.61,129.77,633.09443
2019-12-31 15:59:00,129.75,129.81,129.73,129.73,38.28698
2019-12-31 16:00:00,129.71,129.8,129.2,129.8,1423.16105
2019-12-31 16:01:00,129.82,130.44,129.78,130.44,1503.61813
2019-12-31 16:02:00,130.42,130.51,130.19,130.37,723.66639
2019-12-31 16:03:00,130.35,130.44,130.11,130.24,336.30679
2019-12-31 16:04:00,130.24,130.24,129.87,130.03,649.12892
2019-12-31 16:05:00,130.03,130.34,130.02,130.25,313.36252
2019-12-31 16:06:00,130.26,130.3,130.16,130.25,112.06674
2019-12-31 16:07:00,130.28,130.29,130.12,130.21,131.32506
2019-12-31 16:08:00,130.17,130.27,129.97,130.0,129.08699
2019-12-31 16:09:00,130.04,130.32,130.04,130.29,98.8051
2019-12-31 16:10:00,130.27,130.27,130.03,130.08,138.85122
2019-12-31 16:11:00,130.06,130.16,129.91,130.08,346.43993
2019-12-31 16:12:00,130.03,130.1,129.89,130.03,991.49298
2019-12-31 16:13:00,130.01,130.2,129.86,129.88,415.10278
2019-12-31 16:14:00,129.87,129.94,129.84,129.87,145.431
2019-12-31 16:15:00,129.89,130.13,129.63,130.05,769.14717
2019-12-31 16:16:00,130.05,130.05,129.79,129.96,185.06512
2019-12-31 16:17:00,129.96,129.96,129.79,129.92,552.35278
2019-12-31 16:18:00,129.94,130.08,129.92,129.98,137.70876
2019-12-31 16:19:00,129.93,130.31,129.85,130.26,475.07001
2019-12-31 16:20:00,130.28,130.33,130.16,130.26,72.30909
2019-12-31 16:21:00,130.23,130.34,130.21,130.33,107.76449
2019-12-31 16:22:00,130.29,130.29,130.08,130.13,319.93984
2019-12-31 16:23:00,130.15,130.33,130.15,130.23,52.942
2019-12-31 16:24:00,130.23,130.23,130.12,130.15,7.46422
2019-12-31 16:25:00,130.15,130.15,130.09,130.14,24.28696
2019-12-31 16:26:00,130.1,130.33,130.1,130.22,98.37649
2019-12-31 16:27:00,130.25,130.26,130.1,130.12,99.59075
2019-12-31 16:28:00,130.1,130.12,130.06,130.1,23.47804
2019-12-31 16:29:00,130.12,130.2,130.02,130.16,125.04714
2019-12-31 16:30:00,130.15,130.34,130.15,130.31,176.59918
2019-12-31 16:31:00,130.31,130.36,130.28,130.32,77.19066
2019-12-31 16:32:00,130.27,130.27,130.17,130.24,66.76162
2019-12-31 16:33:00,130.2,130.29,130.18,130.28,14.04553
2019-12-31 16:34:00,130.26,130.47,130.26,130.38,174.47617
2019-12-31 16:35:00,130.35,130.38,130.31,130.36,7.09451
2019-12-31 16:36:00,130.37,130.37,130.06,130.06,342.94674
2019-12-31 16:37:00,130.07,130.24,130.03,130.15,54.25929
2019-12-31 16:38:00,130.15,130.34,130.15,130.15,76.68816
2019-12-31 16:39:00,130.15,130.16,130.05,130.11,49.10508
2019-12-31 16:40:00,130.09,130.38,130.08,130.13,232.59034
2019-12-31 16:41:00,130.16,130.21,130.07,130.16,71.53977
2019-12-31 16:42:00,130.16,130.34,130.05,130.32,230.09126
2019-12-31 16:43:00,130.32,130.33,130.15,130.22,69.44302
2019-12-31 16:44:00,130.23,130.24,130.14,130.22,42.28689
2019-12-31 16:45:00,130.26,130.27,130.14,130.18,77.91579
2019-12-31 16:46:00,130.18,130.27,130.14,130.24,50.24175
2019-12-31 16:47:00,130.2,130.24,130.19,130.23,2.15434
2019-12-31 16:48:00,130.23,130.29,130.2,130.26,20.65736
2019-12-31 16:49:00,130.26,130.28,130.06,130.13,198.91791
2019-12-31 16:50:00,130.13,130.24,130.12,130.21,37.72067
2019-12-31 16:51:00,130.2,130.21,130.15,130.19,22.30559
2019-12-31 16:52:00,130.19,130.2,130.16,130.16,18.51129
2019-12-31 16:53:00,130.16,130.22,130.16,130.2,18.76301
2019-12-31 16:54:00,130.17,130.25,130.17,130.2,41.77932
2019-12-31 16:55:00,130.24,130.24,130.2,130.22,23.74293
2019-12-31 16:56:00,130.2,130.23,130.09,130.16,59.21005
2019-12-31 16:57:00,130.15,130.17,130.15,130.16,20.28356
2019-12-31 16:58:00,130.17,130.17,130.05,130.13,142.5771
2019-12-31 16:59:00,130.13,130.18,130.06,130.07,79.11279
2019-12-31 17:00:00,130.07,130.07,129.91,129.97,220.61947
2019-12-31 17:01:00,129.98,129.98,129.88,129.92,80.51712
2019-12-31 17:02:00,129.9,129.97,129.9,129.91,38.75837
2019-12-31 17:03:00,129.91,129.92,129.9,129.9,5.22003
2019-12-31 17:04:00,129.91,129.93,129.87,129.88,21.79828
2019-12-31 17:05:00,129.87,129.95,129.85,129.86,194.48841
2019-12-31 17:06:00,129.91,129.96,129.82,129.96,141.4474
2019-12-31 17:07:00,129.93,129.97,129.91,129.96,72.53834
2019-12-31 17:08:00,129.97,129.97,129.81,129.85,168.90166
2019-12-31 17:09:00,129.86,129.96,129.85,129.88,125.43703
2019-12-31 17:10:00,129.91,129.91,129.83,129.86,122.90826
2019-12-31 17:11:00,129.89,129.92,129.78,129.81,299.0546
2019-12-31 17:12:00,129.85,130.07,129.83,129.97,204.74092
2019-12-31 17:13:00,129.99,130.07,129.76,129.89,252.11049
2019-12-31 17:14:00,129.89,129.92,129.87,129.87,40.48705
2019-12-31 17:15:00,129.85,129.96,129.7,129.87,464.51905
2019-12-31 17:16:00,129.85,129.92,129.83,129.83,204.06791
2019-12-31 17:17:00,129.82,129.98,129.8,129.96,158.54272
2019-12-31 17:18:00,129.94,129.94,129.87,129.92,52.83653
2019-12-31 17:19:00,129.9,129.99,129.89,129.99,64.5033
2019-12-31 17:20:00,129.94,130.13,129.94,129.98,393.95236
2019-12-31 17:21:00,130.0,130.01,129.79,129.79,420.10521
2019-12-31 17:22:00,129.8,129.87,129.79,129.83,30.01726
2019-12-31 17:23:00,129.84,129.89,129.8,129.89,31.81663
2019-12-31 17:24:00,129.93,129.98,129.87,129.87,63.42073
2019-12-31 17:25:00,129.87,129.88,129.86,129.86,13.29663
2019-12-31 17:26:00,129.86,129.86,129.7,129.73,107.24602
2019-12-31 17:27:00,129.73,129.78,129.73,129.78,32.13191
2019-12-31 17:28:00,129.77,129.82,129.75,129.75,17.18424
2019-12-31 17:29:00,129.76,129.78,129.75,129.75,110.22649
2019-12-31 17:30:00,129.76,129.88,129.75,129.84,78.33701
2019-12-31 17:31:00,129.83,129.84,129.76,129.76,15.57738
